Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,15.940000,16.200001,15.810000,16.129999,16.129999,79600
2019-01-08,16.280001,16.510000,16.230000,16.490000,16.490000,101500
2019-01-09,16.500000,16.870001,16.490000,16.580000,16.580000,61700
2019-01-10,16.570000,16.879999,16.500000,16.639999,16.639999,80500
2019-01-11,16.540001,17.020000,16.500000,16.980000,16.980000,91600
2019-01-14,16.860001,17.070000,16.780001,16.860001,16.860001,97800
2019-01-15,16.820000,17.000000,16.580000,16.990000,16.990000,107800
2019-01-16,17.070000,17.389999,16.969999,17.000000,17.000000,133500
2019-01-17,17.780001,19.379999,17.760000,19.260000,19.260000,846900
2019-01-18,19.330000,19.790001,19.100000,19.629999,19.629999,321400
2019-01-22,19.400000,19.870001,18.820000,19.680000,19.680000,171900
2019-01-23,19.770000,19.910000,19.400000,19.660000,19.660000,126400
2019-01-24,19.700001,19.780001,19.530001,19.750000,19.750000,69400
2019-01-25,19.959999,19.959999,19.420000,19.430000,19.430000,70500
2019-01-28,19.400000,19.750000,19.400000,19.680000,19.680000,83100
2019-01-29,19.690001,19.840000,19.559999,19.709999,19.709999,82800
2019-01-30,19.820000,19.850000,19.500000,19.610001,19.610001,137800
2019-01-31,19.540001,19.660000,19.290001,19.450001,19.450001,95000
2019-02-01,19.610001,19.760000,19.320000,19.709999,19.709999,74800
2019-02-04,19.600000,19.840000,19.600000,19.740000,19.740000,83800
2019-02-05,19.730000,19.879999,19.629999,19.750000,19.750000,55600
2019-02-06,19.770000,19.790001,19.330000,19.410000,19.410000,76400
2019-02-07,19.340000,19.483700,18.889999,19.290001,19.290001,94491
